,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
0,M142_1015935949_0001_0003_Back.jpg,0,22,8,0.0,0.0,0,22,8,0.0,0.0
1,M142_1015935949_0001_0005_Back.jpg,0,16,2,0.0,0.0,0,16,2,0.0,0.0
2,M142_1015935949_0001_0011_Back.jpg,11,23,8,0.5789473684210527,0.3235294117647059,11,23,8,0.5789473684210527,0.3235294117647059
3,M142_1015935949_0001_0017_Back.jpg,0,1,0,,0.0,0,1,0,,0.0
4,M142_1015935949_0001_0036_Back.jpg,1,22,2,0.3333333333333333,0.043478260869565216,1,22,2,0.3333333333333333,0.043478260869565216
5,M142_1015935949_0001_0049_Back.jpg,5,27,6,0.45454545454545453,0.15625,5,27,6,0.45454545454545453,0.15625
6,M142_1015935949_0001_0045_Back.jpg,0,9,2,0.0,0.0,0,9,2,0.0,0.0
7,M142_1015935949_0001_0055_Back.jpg,0,28,6,0.0,0.0,0,28,6,0.0,0.0
8,M142_1015935949_0001_0053_Back.jpg,7,51,8,0.4666666666666667,0.1206896551724138,7,51,8,0.4666666666666667,0.1206896551724138
9,M142_1015935949_0001_0057_Back.jpg,0,11,1,0.0,0.0,0,11,1,0.0,0.0
10,M142_1015935949_0001_0070_Back.jpg,2,15,1,0.6666666666666666,0.11764705882352941,2,15,1,0.6666666666666666,0.11764705882352941
11,M142_1015935949_0001_0061_Back.jpg,0,43,8,0.0,0.0,0,43,8,0.0,0.0
12,M142_1015935949_0001_0071_Back.jpg,2,21,3,0.4,0.08695652173913043,2,21,3,0.4,0.08695652173913043
13,M142_1015935949_0001_0086_Back.jpg,0,6,1,0.0,0.0,0,6,1,0.0,0.0
14,M142_1015935949_0001_0078_Back.jpg,0,0,0,,,0,0,0,,
15,M142_1015935949_0001_0092_Back.jpg,4,49,21,0.16,0.07547169811320754,4,49,21,0.16,0.07547169811320754
16,M142_1015935949_0001_0107_Back.jpg,7,83,4,0.6363636363636364,0.07777777777777778,7,83,4,0.6363636363636364,0.07777777777777778
17,M142_1015935949_0001_0096_Back.jpg,1,21,6,0.14285714285714285,0.045454545454545456,1,21,6,0.14285714285714285,0.045454545454545456
18,M142_1015935949_0002_0014_Back.jpg,1,33,9,0.1,0.029411764705882353,1,33,9,0.1,0.029411764705882353
19,M142_1015935949_0002_0019_Back.jpg,1,28,5,0.16666666666666666,0.034482758620689655,1,28,5,0.16666666666666666,0.034482758620689655
20,M142_1015935949_0002_0021_Back.jpg,1,46,17,0.05555555555555555,0.02127659574468085,1,46,17,0.05555555555555555,0.02127659574468085
21,M142_1015935949_0002_0025_Back.jpg,0,29,3,0.0,0.0,0,29,3,0.0,0.0
22,M142_1015935949_0002_0023_Back.jpg,7,30,11,0.3888888888888889,0.1891891891891892,7,30,11,0.3888888888888889,0.1891891891891892
23,M142_1015935949_0002_0024_Back.jpg,1,29,2,0.3333333333333333,0.03333333333333333,1,29,2,0.3333333333333333,0.03333333333333333
24,M142_1015935949_0002_0035_Back.jpg,0,20,8,0.0,0.0,0,20,8,0.0,0.0
25,M142_1015935949_0002_0036_Back.jpg,7,41,9,0.4375,0.14583333333333334,7,41,9,0.4375,0.14583333333333334
26,M142_1015935949_0002_0029_Back.jpg,4,52,13,0.23529411764705882,0.07142857142857142,4,52,13,0.23529411764705882,0.07142857142857142
27,M142_1015935949_0002_0038_Back.jpg,0,18,3,0.0,0.0,0,18,3,0.0,0.0
28,M142_1015935949_0002_0047_Back.jpg,0,31,2,0.0,0.0,0,31,2,0.0,0.0
29,M142_1015935949_0002_0043_Back.jpg,0,39,6,0.0,0.0,0,39,6,0.0,0.0
30,M142_1015935949_0002_0064_Back.jpg,0,23,3,0.0,0.0,0,23,3,0.0,0.0
31,M142_1015935949_0002_0056_Back.jpg,6,38,13,0.3157894736842105,0.13636363636363635,6,38,13,0.3157894736842105,0.13636363636363635
32,M142_1015935949_0002_0057_Back.jpg,8,11,6,0.5714285714285714,0.42105263157894735,8,11,6,0.5714285714285714,0.42105263157894735
33,M142_1015935949_0003_0002_Back.jpg,6,11,5,0.5454545454545454,0.35294117647058826,6,11,5,0.5454545454545454,0.35294117647058826
34,M142_1015935949_0003_0009_Back.jpg,1,16,4,0.2,0.058823529411764705,1,16,4,0.2,0.058823529411764705
35,M142_1015935949_0003_0005_Back.jpg,8,24,6,0.5714285714285714,0.25,8,24,6,0.5714285714285714,0.25
36,M142_1015935949_0003_0019_Back.jpg,3,7,2,0.6,0.3,3,7,2,0.6,0.3
37,M142_1015935949_0003_0010_Back.jpg,0,31,5,0.0,0.0,0,31,5,0.0,0.0
38,M142_1015935949_0004_0013_Back.jpg,0,0,55,0.0,,0,0,55,0.0,
39,M142_1015935949_0004_0011_Back.jpg,0,0,232,0.0,,0,0,232,0.0,
40,M142_1015935949_0004_0003_Back.jpg,4,28,6,0.4,0.125,4,28,6,0.4,0.125
41,M142_1015935949_0004_0014_Back.jpg,0,0,130,0.0,,0,0,130,0.0,
42,M142_1015935949_0004_0030_Back.jpg,3,41,17,0.15,0.06818181818181818,3,41,17,0.15,0.06818181818181818
43,M142_1015935949_0004_0024_Back.jpg,18,11,4,0.8181818181818182,0.6206896551724138,18,11,4,0.8181818181818182,0.6206896551724138
44,M142_1015935949_0004_0034_Back.jpg,0,10,2,0.0,0.0,0,10,2,0.0,0.0
45,M142_1015935949_0004_0031_Back.jpg,2,14,6,0.25,0.125,2,14,6,0.25,0.125
46,M142_1015935949_0005_0011_Back.jpg,0,17,3,0.0,0.0,0,17,3,0.0,0.0
47,M142_1015935949_0005_0025_Back.jpg,0,12,5,0.0,0.0,0,12,5,0.0,0.0
48,M142_1015935949_0005_0013_Back.jpg,11,44,14,0.44,0.2,11,44,14,0.44,0.2
49,M142_1015935949_0005_0017_Back.jpg,0,16,5,0.0,0.0,0,16,5,0.0,0.0
50,M142_1015935949_0005_0029_Back.jpg,0,55,33,0.0,0.0,0,55,33,0.0,0.0
51,M142_1015935949_0005_0044_Back.jpg,9,36,6,0.6,0.2,9,36,6,0.6,0.2
52,M142_1015935949_0005_0048_Back.jpg,0,20,5,0.0,0.0,0,20,5,0.0,0.0
53,M142_1015935949_0007_0004_Back.jpg,0,45,7,0.0,0.0,0,45,7,0.0,0.0
54,M142_1015935949_0006_0001_Back.jpg,1,15,6,0.14285714285714285,0.0625,1,15,6,0.14285714285714285,0.0625
55,M142_1015935949_0008_0012_Back.jpg,3,28,11,0.21428571428571427,0.0967741935483871,3,28,11,0.21428571428571427,0.0967741935483871
56,M142_1015935949_0007_0010_Back.jpg,3,43,6,0.3333333333333333,0.06521739130434782,3,43,6,0.3333333333333333,0.06521739130434782
57,M142_1015935949_0008_0002_Back.jpg,3,37,10,0.23076923076923078,0.075,3,37,10,0.23076923076923078,0.075
58,M142_1015935949_0008_0014_Back.jpg,0,24,2,0.0,0.0,0,24,2,0.0,0.0
59,M142_1015935949_0008_0024_Back.jpg,1,33,4,0.2,0.029411764705882353,1,33,4,0.2,0.029411764705882353
60,M142_1015935949_0008_0025_Back.jpg,0,16,2,0.0,0.0,0,16,2,0.0,0.0
61,M142_1015935949_0008_0028_Back.jpg,1,38,12,0.07692307692307693,0.02564102564102564,1,38,12,0.07692307692307693,0.02564102564102564
62,M142_1015935949_0008_0029_Back.jpg,1,31,6,0.14285714285714285,0.03125,1,31,6,0.14285714285714285,0.03125
63,M142_1015935949_0009_0002_Back.jpg,6,8,3,0.6666666666666666,0.42857142857142855,6,8,3,0.6666666666666666,0.42857142857142855
64,M142_1015935949_0009_0009_Back.jpg,1,24,3,0.25,0.04,1,24,3,0.25,0.04
65,M142_1015935949_0009_0015_Back.jpg,1,21,8,0.1111111111111111,0.045454545454545456,1,21,8,0.1111111111111111,0.045454545454545456
66,M142_1015935949_0009_0016_Back.jpg,8,20,6,0.5714285714285714,0.2857142857142857,8,20,6,0.5714285714285714,0.2857142857142857
67,M142_1015935949_0010_0007_Back.jpg,0,35,7,0.0,0.0,0,35,7,0.0,0.0
68,M142_1015935949_0009_0018_Back.jpg,5,25,7,0.4166666666666667,0.16666666666666666,5,25,7,0.4166666666666667,0.16666666666666666
69,M142_1015935949_0010_0008_Back.jpg,3,26,8,0.2727272727272727,0.10344827586206896,3,26,8,0.2727272727272727,0.10344827586206896
70,M142_1015935949_0010_0012_Back.jpg,25,17,8,0.7575757575757576,0.5952380952380952,25,17,8,0.7575757575757576,0.5952380952380952
71,M142_1015935949_0011_0001_Back.jpg,0,42,9,0.0,0.0,0,42,9,0.0,0.0
72,M142_1015935949_0013_0003_Back.jpg,0,0,0,,,0,0,0,,
73,M142_1015935949_0013_0008_Back.jpg,3,28,4,0.42857142857142855,0.0967741935483871,3,28,4,0.42857142857142855,0.0967741935483871
74,M142_1015935949_0011_0004_Back.jpg,1,21,9,0.1,0.045454545454545456,1,21,9,0.1,0.045454545454545456
75,M142_1015935949_0013_0005_Back.jpg,0,25,4,0.0,0.0,0,25,4,0.0,0.0
76,M142_1015935949_0013_0013_Back.jpg,1,24,5,0.16666666666666666,0.04,1,24,5,0.16666666666666666,0.04
77,M142_1015935949_0013_0010_Back.jpg,1,16,4,0.2,0.058823529411764705,1,16,4,0.2,0.058823529411764705
78,M142_1015935949_0014_0001_Back.jpg,0,0,0,,,0,0,0,,
79,M142_1015935949_0013_0019_Back.jpg,1,21,8,0.1111111111111111,0.045454545454545456,1,21,8,0.1111111111111111,0.045454545454545456
80,M142_1015935949_0013_0014_Back.jpg,47,52,65,0.41964285714285715,0.47474747474747475,47,52,65,0.41964285714285715,0.47474747474747475
81,M142_1015935949_0014_0003_Back.jpg,0,0,0,,,0,0,0,,
82,M142_1015935949_0014_0011_Back.jpg,5,14,5,0.5,0.2631578947368421,5,14,5,0.5,0.2631578947368421
83,M142_1015935949_0014_0015_Back.jpg,7,39,6,0.5384615384615384,0.15217391304347827,7,39,6,0.5384615384615384,0.15217391304347827
84,M142_1015935949_0014_0028_Back.jpg,11,10,4,0.7333333333333333,0.5238095238095238,11,10,4,0.7333333333333333,0.5238095238095238
85,M142_1015935949_0014_0030_Back.jpg,0,20,1,0.0,0.0,0,20,1,0.0,0.0
86,M142_1015935949_0014_0017_Back.jpg,0,15,1,0.0,0.0,0,15,1,0.0,0.0
87,M142_1015935949_0014_0026_Back.jpg,1,12,2,0.3333333333333333,0.07692307692307693,1,12,2,0.3333333333333333,0.07692307692307693
88,M142_1015935949_0015_0007_Back.jpg,17,18,5,0.7727272727272727,0.4857142857142857,17,18,5,0.7727272727272727,0.4857142857142857
89,M142_1015935949_0014_0036_Back.jpg,0,15,1,0.0,0.0,0,15,1,0.0,0.0
90,M142_1015935949_0015_0008_Back.jpg,4,50,21,0.16,0.07407407407407407,4,50,21,0.16,0.07407407407407407
91,M142_1015935949_0014_0034_Back.jpg,3,15,2,0.6,0.16666666666666666,3,15,2,0.6,0.16666666666666666
