,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
0,M142_1015935949_0014_0017_Back.jpg,0,15,5,0.0,0.0,0,15,0,,0.0
1,M142_1015935949_0005_0025_Back.jpg,0,12,0,,0.0,0,12,11,0.0,0.0
2,M142_1015935949_0005_0017_Back.jpg,2,14,175,0.011299435028248588,0.125,8,8,15,0.34782608695652173,0.5
3,M142_1015935949_0031_0002_Back.jpg,0,0,48,0.0,,0,0,58,0.0,
4,M142_1015935949_0002_0025_Back.jpg,2,27,11,0.15384615384615385,0.06896551724137931,1,28,9,0.1,0.034482758620689655
5,M142_1015935949_0029_0027_Back.jpg,0,16,62,0.0,0.0,0,16,26,0.0,0.0
6,M142_1015935949_0001_0061_Back.jpg,0,43,111,0.0,0.0,0,43,58,0.0,0.0
7,M142_1015935949_0005_0013_Back.jpg,35,20,21,0.625,0.6363636363636364,36,19,24,0.6,0.6545454545454545
8,M142_1015935949_0026_0008_Back.jpg,0,19,29,0.0,0.0,6,13,77,0.07228915662650602,0.3157894736842105
9,M142_1015935949_0017_0002_Back.jpg,0,6,0,,0.0,0,6,0,,0.0
10,M142_1015935949_0009_0018_Back.jpg,1,29,22,0.043478260869565216,0.03333333333333333,2,28,22,0.08333333333333333,0.06666666666666667
11,M142_1015935949_0005_0044_Back.jpg,0,45,7,0.0,0.0,0,45,20,0.0,0.0
12,M142_1015935949_0018_0007_Back.jpg,2,49,38,0.05,0.0392156862745098,4,47,52,0.07142857142857142,0.0784313725490196
13,M142_1015935949_0031_0003_Back.jpg,0,0,0,,,0,0,14,0.0,
14,M142_1015935949_0011_0004_Back.jpg,0,22,0,,0.0,0,22,0,,0.0
15,M142_1015935949_0018_0014_Back.jpg,2,24,294,0.006756756756756757,0.07692307692307693,1,25,110,0.009009009009009009,0.038461538461538464
16,M142_1015935949_0003_0010_Back.jpg,0,31,42,0.0,0.0,0,31,14,0.0,0.0
17,M142_1015935949_0034_0003_Back.jpg,0,0,4,0.0,,0,0,10,0.0,
18,M142_1015935949_0027_0009_Back.jpg,0,23,15,0.0,0.0,0,23,19,0.0,0.0
19,M142_1015935949_0036_0008_Back.jpg,0,11,1,0.0,0.0,0,11,48,0.0,0.0
20,M142_1015935949_0029_0019_Back.jpg,0,31,0,,0.0,2,29,34,0.05555555555555555,0.06451612903225806
21,M142_1015935949_0001_0049_Back.jpg,0,32,12,0.0,0.0,5,27,42,0.10638297872340426,0.15625
22,M142_1015935949_0029_0071_Back.jpg,0,0,2,0.0,,0,0,0,,
23,M142_1015935949_0027_0022_Back.jpg,0,16,26,0.0,0.0,0,16,0,,0.0
24,M142_1015935949_0014_0026_Back.jpg,1,12,11,0.08333333333333333,0.07692307692307693,2,11,8,0.2,0.15384615384615385
25,M142_1015935949_0027_0019_Back.jpg,0,15,23,0.0,0.0,0,15,8,0.0,0.0
26,M142_1015935949_0002_0035_Back.jpg,2,18,25,0.07407407407407407,0.1,1,19,21,0.045454545454545456,0.05
27,M142_1015935949_0034_0015_Back.jpg,0,0,23,0.0,,0,0,0,,
28,M142_1015935949_0002_0023_Back.jpg,0,37,186,0.0,0.0,3,34,214,0.013824884792626729,0.08108108108108109
29,M142_1015935949_0004_0013_Back.jpg,0,0,148,0.0,,0,0,97,0.0,
30,M142_1015935949_0005_0011_Back.jpg,2,15,129,0.015267175572519083,0.11764705882352941,3,14,206,0.014354066985645933,0.17647058823529413
31,M142_1015935949_0036_0004_Back.jpg,0,16,98,0.0,0.0,0,16,134,0.0,0.0
